"p_eurefvote","p_gross_household","p_sexuality","age","al_scaleW14","lr_scaleW14","antiIntellectual","immigSelf","euPriorityBalance","ukCitizen","euCitizen","likeFarage","likeJohnson","likeCorbyn","likeMay","immig_att","eth_wBrit","eth_other","relig_coe","relig_other"
0,11,"Heterosexual",70,NA,6,3,5,0,1,0,1,0,0,8,2,1,0,0,1
1,3,"Heterosexual",80,8,0,3,0,10,1,0,6,0,0,7,7,1,0,0,1
0,1,"Heterosexual",29,5,2.5,3,2,5,1,0,0,0,0,0,5,1,0,1,0
0,5,"Heterosexual",71,7.5,4.5,3,4,1,1,0,2,4,0,8,3,1,0,0,1
1,3,"Heterosexual",77,7.5,2.5,4,5,9,1,0,8,5,0,6,5,1,0,0,1
1,3,"Heterosexual",71,7,3.5,3,0,10,1,0,4,7,0,3,6,1,0,0,1
0,3,"Heterosexual",65,4.5,2,2,6,0,1,0,0,0,3,1,6,1,0,1,0
0,5,"Heterosexual",71,5.5,3,2,4,3,1,0,1,1,6,3,4,1,0,0,1
0,8,"Heterosexual",45,6.5,6,4,5,7,1,0,2,6,3,6,5,1,0,1,0
0,3,"Heterosexual",47,8,2,2,5,3,1,0,5,6,6,6,5,1,0,1,0
1,4,"Heterosexual",62,7.5,3.5,4,0,5,1,0,5,8,0,8,7,1,0,0,1
0,7,"Heterosexual",67,6,4.5,3,10,1,1,0,0,1,2,0,0,1,0,1,0
0,5,"Heterosexual",56,10,2.5,1,2,5,1,0,6,6,0,6,9,NA,0,1,0
1,4,"Heterosexual",70,7.5,3,4,3,9,1,0,6,4,0,7,6,1,0,0,1
1,4,"Heterosexual",44,10,4.5,3,5,10,1,0,0,7,10,3,0,0,1,0,1
0,13,"Heterosexual",36,7.5,5,4,4,6,0,1,0,5,1,4,2,1,0,0,1
1,5,"Homosexual",56,5,0,2,5,0,1,0,0,0,8,0,6,1,0,1,0
1,12,"Heterosexual",35,9.5,4.5,4,1,10,1,0,9,7,2,8,12,1,0,1,0
0,9,"Heterosexual",27,4.5,5.5,3,4,5,1,0,3,4,4,4,4,1,0,0,1
1,7,"Heterosexual",70,4,1,5,5,3,1,0,7,6,4,0,6,1,0,0,1
0,11,"Heterosexual",67,6.5,1,2,5,1,1,0,0,0,5,1,4,1,0,0,1
1,5,"Heterosexual",84,10,6.5,5,10,5,1,0,2,4,0,8,1,1,0,0,1
0,3,"Heterosexual",46,7.5,3,4,0,5,1,0,0,4,0,5,6,1,0,0,1
0,12,"Heterosexual",45,7.5,4,2,0,8,1,0,0,2,7,5,4,1,0,1,0
0,5,"Heterosexual",62,3,0.5,2,5,0,1,0,0,2,2,2,3,1,0,0,1
1,13,"Heterosexual",56,7.5,4,3,3,6,1,0,8,5,0,6,9,1,0,0,1
1,6,"Heterosexual",NA,7.5,4.5,2,2,9,1,0,3,7,0,7,7,1,0,1,0
0,6,"Heterosexual",37,9,4,5,3,6,1,0,5,5,5,5,8,1,0,0,1
NA,7,"Heterosexual",39,5,3.5,3,5,6,1,0,0,0,5,0,2,1,0,0,1
0,6,"Heterosexual",60,4,2.5,2,7,1,1,0,1,2,5,4,4,1,0,1,0
1,6,"Heterosexual",55,9,4,3,7,2,1,0,4,4,4,4,2,1,0,0,1
0,8,"Heterosexual",71,5,3.5,4,5,5,1,0,3,5,2,8,2,1,0,1,0
0,8,"Heterosexual",63,7,3,3,5,5,1,0,6,8,0,7,6,0,1,0,1
0,13,"Heterosexual",30,2,2,1,6,1,1,0,0,0,6,2,0,1,0,NA,1
1,5,"Heterosexual",60,2.5,1.5,3,3,9,1,0,0,0,5,5,6,1,0,0,1
0,1,"Heterosexual",60,7,4.5,2,3,7,1,0,0,4,7,4,6,1,0,1,0
1,8,"Heterosexual",33,8,0.5,4,0,10,1,0,7,10,0,8,9,1,NA,1,0
0,4,"Heterosexual",62,8.5,1.5,4,5,4,1,0,8,5,6,8,4,1,0,0,1
1,5,"Heterosexual",69,8,2,5,2,7,1,0,10,9,0,0,7,1,0,0,1
1,5,"Heterosexual",78,6.5,4.5,4,0,8,1,0,0,2,0,10,11,1,0,0,1
0,7,"Homosexual",50,6.5,3.5,2,5,5,1,0,0,1,6,4,6,0,1,0,1
0,13,"Homosexual",51,5,3,NA,5,1,1,0,0,4,5,2,2,1,0,1,0
1,5,"Prefer not to say",75,8,0,2,5,8,1,0,10,9,0,0,8,1,0,1,0
0,8,"Heterosexual",63,NA,2.5,2,9,0,1,0,0,1,10,1,0,1,0,1,0
0,11,"Heterosexual",45,7,7,4,7,4,1,0,3,6,2,7,2,1,0,0,1
0,7,"Heterosexual",61,7.5,3,2,5,1,1,0,1,1,0,7,3,1,0,1,0
1,14,"Heterosexual",63,2,1,3,0,4,1,0,4,3,0,6,6,1,0,1,0
1,4,"Heterosexual",47,6.5,3,3,4,5,1,0,6,8,5,7,4,1,0,0,1
0,6,"Prefer not to say",30,5,1.5,1,5,2,1,0,0,1,8,6,3,1,0,1,0
